Year,Місцевість проживання,Тип водопостачання,Value
2015,міська,,12.4
2016,міська,,13.7
2017,міська,,16.2
2018,міська,,18.5
2019,міська,,17.2
2020,міська,,16.8
2021,міська,,18.2
2022,міська,,12.1
2023,міська,,11.3
2015,сільська,,22.5
2016,сільська,,25.5
2017,сільська,,27.4
2018,сільська,,29.8
2019,сільська,,31.2
2020,сільська,,26.9
2021,сільська,,28.9
2022,сільська,,25.4
2023,сільська,,28.9
2015,,централізоване,15.7
2016,,централізоване,18.4
2017,,централізоване,20.0
2018,,централізоване,22.7
2019,,централізоване,22.3
2020,,централізоване,21.7
2021,,централізоване,21.2
2022,,централізоване,14.3
2023,,централізоване,14.3
2015,,децентралізоване,32.7
2016,,децентралізоване,33.2
2017,,децентралізоване,32.6
2018,,децентралізоване,34.4
2019,,децентралізоване,30.4
2020,,децентралізоване,32.6
2021,,децентралізоване,33.5
2022,,децентралізоване,39.9
2023,,децентралізоване,35.0
