Year,Вік,Стать,Value
2015,,,38303
2016,,,219981
2017,,,393228
2018,,,400478
2019,,,404030
2020,,,354018
2021,,,433810
2022,,,379172
2023,,,369112
2015,до 18 років,,169
2016,до 18 років,,1413
2017,до 18 років,,1803
2018,до 18 років,,2051
2019,до 18 років,,1976
2020,до 18 років,,1893
2021,до 18 років,,2972
2022,до 18 років,,4601
2023,до 18 років,,4830
2015,18 – 35 років,,5827
2016,18 – 35 років,,48456
2017,18 – 35 років,,88404
2018,18 – 35 років,,86792
2019,18 – 35 років,,70756
2020,18 – 35 років,,71945
2021,18 – 35 років,,93881
2022,18 – 35 років,,85801
2023,18 – 35 років,,75787
2015,36 – 60 років,,18009
2016,36 – 60 років,,110488
2017,36 – 60 років,,196311
2018,36 – 60 років,,193433
2019,36 – 60 років,,185227
2020,36 – 60 років,,172036
2021,36 – 60 років,,220951
2022,36 – 60 років,,192322
2023,36 – 60 років,,185630
2015,61 рік і старші,,14298
2016,61 рік і старші,,59624
2017,61 рік і старші,,106710
2018,61 рік і старші,,118202
2019,61 рік і старші,,146071
2020,61 рік і старші,,108144
2021,61 рік і старші,,116006
2022,61 рік і старші,,96448
2023,61 рік і старші,,102865
2015,,чоловіки,15673
2016,,чоловіки,93488
2017,,чоловіки,158462
2018,,чоловіки,151787
2019,,чоловіки,152578
2020,,чоловіки,137011
2021,,чоловіки,179040
2022,,чоловіки,153006
2023,,чоловіки,143272
2015,,жінки,22630
2016,,жінки,126493
2017,,жінки,234766
2018,,жінки,248691
2019,,жінки,251452
2020,,жінки,217007
2021,,жінки,254770
2022,,жінки,226166
2023,,жінки,225840
