Year,Region,Value
2015,,50.9
2016,,49.7
2017,,52.8
2018,,57.8
2019,,58.7
2020,,56.5
2021,,59.0
2022,,
2023,,
2015,Vinnytsya,54.3
2016,Vinnytsya,54.6
2017,Vinnytsya,58.2
2018,Vinnytsya,62.6
2019,Vinnytsya,63.5
2020,Vinnytsya,63.6
2021,Vinnytsya,65.7
2022,Vinnytsya,
2023,Vinnytsya,
2015,Volyn,43.9
2016,Volyn,40.4
2017,Volyn,42.1
2018,Volyn,46.1
2019,Volyn,49.3
2020,Volyn,52.3
2021,Volyn,52.5
2022,Volyn,
2023,Volyn,
2015,Dnipropetrovsk,57.1
2016,Dnipropetrovsk,59.1
2017,Dnipropetrovsk,61.1
2018,Dnipropetrovsk,70.6
2019,Dnipropetrovsk,68.1
2020,Dnipropetrovsk,63.7
2021,Dnipropetrovsk,66.4
2022,Dnipropetrovsk,
2023,Dnipropetrovsk,
2015,Donetsk,40.9
2016,Donetsk,37.7
2017,Donetsk,41.7
2018,Donetsk,43.1
2019,Donetsk,45.6
2020,Donetsk,42.3
2021,Donetsk,43.5
2022,Donetsk,
2023,Donetsk,
2015,Zhytomyr,47.2
2016,Zhytomyr,46.6
2017,Zhytomyr,49.0
2018,Zhytomyr,51.6
2019,Zhytomyr,54.6
2020,Zhytomyr,49.8
2021,Zhytomyr,55.0
2022,Zhytomyr,
2023,Zhytomyr,
2015,Zakarpattya,48.9
2016,Zakarpattya,50.0
2017,Zakarpattya,51.3
2018,Zakarpattya,57.3
2019,Zakarpattya,55.8
2020,Zakarpattya,52.2
2021,Zakarpattya,57.2
2022,Zakarpattya,
2023,Zakarpattya,
2015,Zaporizhzhya,46.5
2016,Zaporizhzhya,46.1
2017,Zaporizhzhya,49.7
2018,Zaporizhzhya,59.4
2019,Zaporizhzhya,53.8
2020,Zaporizhzhya,52.5
2021,Zaporizhzhya,58.0
2022,Zaporizhzhya,
2023,Zaporizhzhya,
2015,Ivano-Frankivsk,44.2
2016,Ivano-Frankivsk,46.2
2017,Ivano-Frankivsk,49.2
2018,Ivano-Frankivsk,52.7
