Year,Види економічної діяльності,Value
2015,,875.1
2016,,698.3
2017,,997.3
2018,,952.0
2019,,737.2
2020,,518.35
2021,,541.507
2022,,374.027
2023,,375.647
2015,Промисловість,481.3
2016,Промисловість,327.3
2017,Промисловість,311.1
2018,Промисловість,301.4
2019,Промисловість,91.54
2020,Промисловість,107.373
2021,Промисловість,119.706
2022,Промисловість,86.987
2023,Промисловість,63.784
2015,Сiльське господарство,24.68
2016,Сiльське господарство,22.31
2017,Сiльське господарство,28.9
2018,Сiльське господарство,15.37
2019,Сiльське господарство,46.5
2020,Сiльське господарство,24.581
2021,Сiльське господарство,33.744
2022,Сiльське господарство,14.242
2023,Сiльське господарство,19.375
2015,Лiсове господарство,
2016,Лiсове господарство,
2017,Лiсове господарство,
2018,Лiсове господарство,
2019,Лiсове господарство,
2020,Лiсове господарство,
2021,Лiсове господарство,
2022,Лiсове господарство,
2023,Лiсове господарство,
2015,Транспорт,3.08
2016,Транспорт,2.05
2017,Транспорт,1.95
2018,Транспорт,2.79
2019,Транспорт,0.398
2020,Транспорт,0.541
2021,Транспорт,1.443
2022,Транспорт,0.466
2023,Транспорт,1.092
2015,Зв'язок,
2016,Зв'язок,
2017,Зв'язок,
2018,Зв'язок,
2019,Зв'язок,
2020,Зв'язок,
2021,Зв'язок,
2022,Зв'язок,
2023,Зв'язок,0.004
2015,Будівництво,0.95
2016,Будівництво,0.003
2017,Будівництво,
2018,Будівництво,
2019,Будівництво,0.004
2020,Будівництво,2.406
2021,Будівництво,2.484
2022,Будівництво,0.568
2023,Будівництво,0.006
2015,Торгiвля i громадське харчування,55.22
2016,Торгiвля i громадське харчування,50.72
2017,Торгiвля i громадське харчування,46.18
2018,Торгiвля i громадське харчування,45.73
2019,Торгiвля i громадське харчування,33.88
2020,Торгiвля i громадське харчування,0.062
2021,Торгiвля i громадське харчування,0.088
2022,Торгiвля i громадське харчування,0.074
2023,Торгiвля i громадське харчування,0.07
2015,Матеріально-технічне забезпечення,0.02
2016,Матеріально-технічне забезпечення,0.02
2017,Матеріально-технічне забезпечення,0.03
2018,Матеріально-технічне забезпечення,0.04
2019,Матеріально-технічне забезпечення,0.024
2020,Матеріально-технічне забезпечення,0.227
2021,Матеріально-технічне забезпечення,0.147
2022,Матеріально-технічне забезпечення,0.135
2023,Матеріально-технічне забезпечення,0.149
2015,Житлове та побутове господарство,308.1
2016,Житлове та побутове господарство,294.3
2017,Житлове та побутове господарство,607.5
2018,Житлове та побутове господарство,585.3
2019,Житлове та побутове господарство,563.7
2020,Житлове та побутове господарство,381.316
2021,Житлове та побутове господарство,382.456
2022,Житлове та побутове господарство,270.301
2023,Житлове та побутове господарство,289.525
2015,"Охорона здоров’я, фізичне виховання",0.75
2016,"Охорона здоров’я, фізичне виховання",0.72
2017,"Охорона здоров’я, фізичне виховання",0.94
2018,"Охорона здоров’я, фізичне виховання",0.73
2019,"Охорона здоров’я, фізичне виховання",0.544
2020,"Охорона здоров’я, фізичне виховання",0.46
2021,"Охорона здоров’я, фізичне виховання",0.474
2022,"Охорона здоров’я, фізичне виховання",0.337
2023,"Охорона здоров’я, фізичне виховання",0.44
2015,Народна освiта,0.39
2016,Народна освiта,0.35
2017,Народна освiта,0.34
2018,Народна освiта,0.34
2019,Народна освiта,0.369
2020,Народна освiта,0.254
2021,Народна освiта,0.254
2022,Народна освiта,0.271
2023,Народна освiта,0.308
2015,Інші галузі,0.62
2016,Інші галузі,0.53
2017,Інші галузі,0.36
2018,Інші галузі,0.3
2019,Інші галузі,0.241
2020,Інші галузі,1.132
2021,Інші галузі,0.711
2022,Інші галузі,0.646
2023,Інші галузі,0.896
