Year,Одиниця виміру,Група,Value
2015,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.72
2016,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.77
2017,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.55
2018,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.47
2019,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.81
2020,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.93
2021,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.95
2022,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.57
2023,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,1.08
2015,"Потерпіло від кримінальних правопорушень (ст.152), усього",всі,306.0
2016,"Потерпіло від кримінальних правопорушень (ст.152), усього",всі,328.0
2017,"Потерпіло від кримінальних правопорушень (ст.152), усього",всі,233.0
2018,"Потерпіло від кримінальних правопорушень (ст.152), усього",всі,197.0
2019,"Потерпіло від кримінальних правопорушень (ст.152), усього",всі,341.0
2020,"Потерпіло від кримінальних правопорушень (ст.152), усього",всі,388.0
2021,"Потерпіло від кримінальних правопорушень (ст.152), усього",всі,391.0
2022,"Потерпіло від кримінальних правопорушень (ст.152), усього",всі,236.0
2023,"Потерпіло від кримінальних правопорушень (ст.152), усього",всі,443.0
2015,"Потерпіло від кримінальних правопорушень (ст.152), усього",жінки,278.0
2016,"Потерпіло від кримінальних правопорушень (ст.152), усього",жінки,298.0
2017,"Потерпіло від кримінальних правопорушень (ст.152), усього",жінки,208.0
2018,"Потерпіло від кримінальних правопорушень (ст.152), усього",жінки,170.0
2019,"Потерпіло від кримінальних правопорушень (ст.152), усього",жінки,276.0
2020,"Потерпіло від кримінальних правопорушень (ст.152), усього",жінки,263.0
2021,"Потерпіло від кримінальних правопорушень (ст.152), усього",жінки,234.0
2022,"Потерпіло від кримінальних правопорушень (ст.152), усього",жінки,120.0
2023,"Потерпіло від кримінальних правопорушень (ст.152), усього",жінки,335.0
2015,"Потерпіло від кримінальних правопорушень (ст.152), усього",неповнолітні,57.0
2016,"Потерпіло від кримінальних правопорушень (ст.152), усього",неповнолітні,55.0
2017,"Потерпіло від кримінальних правопорушень (ст.152), усього",неповнолітні,50.0
2018,"Потерпіло від кримінальних правопорушень (ст.152), усього",неповнолітні,39.0
2019,"Потерпіло від кримінальних правопорушень (ст.152), усього",неповнолітні,56.0
2020,"Потерпіло від кримінальних правопорушень (ст.152), усього",неповнолітні,82.0
2021,"Потерпіло від кримінальних правопорушень (ст.152), усього",неповнолітні,136.0
2022,"Потерпіло від кримінальних правопорушень (ст.152), усього",неповнолітні,61.0
2023,"Потерпіло від кримінальних правопорушень (ст.152), усього",неповнолітні,207.0
2015,"Потерпіло від кримінальних правопорушень (ст.152), усього",малолітні (до 14 років),27.0
2016,"Потерпіло від кримінальних правопорушень (ст.152), усього",малолітні (до 14 років),32.0
2017,"Потерпіло від кримінальних правопорушень (ст.152), усього",малолітні (до 14 років),39.0
2018,"Потерпіло від кримінальних правопорушень (ст.152), усього",малолітні (до 14 років),28.0
2019,"Потерпіло від кримінальних правопорушень (ст.152), усього",малолітні (до 14 років),92.0
2020,"Потерпіло від кримінальних правопорушень (ст.152), усього",малолітні (до 14 років),151.0
2021,"Потерпіло від кримінальних правопорушень (ст.152), усього",малолітні (до 14 років),148.0
2022,"Потерпіло від кримінальних правопорушень (ст.152), усього",малолітні (до 14 років),97.0
2023,"Потерпіло від кримінальних правопорушень (ст.152), усього",малолітні (до 14 років),172.0
