Year,Ec_activ,Value
2015,,74.9
2016,,74.6
2017,,78.8
2018,,77.7
2019,,77.2
2020,,79.6
2021,,81.4
2022,,
2023,,
2015,11_agricul,82.4
2016,11_agricul,82.2
2017,11_agricul,82.2
2018,11_agricul,80.0
2019,11_agricul,79.9
2020,11_agricul,81.2
2021,11_agricul,80.5
2022,,
2023,,
2015,12_indu,74.1
2016,12_indu,74.7
2017,12_indu,76.3
2018,12_indu,74.8
2019,12_indu,74.3
2020,12_indu,74.4
2021,12_indu,74.9
2022,,
2023,,
2015,13_constr,89.0
2016,13_constr,91.5
2017,13_constr,93.2
2018,13_constr,89.4
2019,13_constr,94.1
2020,13_constr,94.4
2021,13_constr,87.5
2022,,
2023,,
2015,14_motor_veh,79.0
2016,14_motor_veh,78.0
2017,14_motor_veh,77.4
2018,14_motor_veh,78.6
2019,14_motor_veh,81.3
2020,14_motor_veh,81.5
2021,14_motor_veh,81.0
2022,,
2023,,
2015,15_courier,76.5
2016,15_courier,77.4
2017,15_courier,76.3
2018,15_courier,75.5
2019,15_courier,77.2
2020,15_courier,75.8
2021,15_courier,76.9
2022,,
2023,,
2015,16_cater,88.1
2016,16_cater,86.2
2017,16_cater,86.6
2018,16_cater,86.0
2019,16_cater,90.9
2020,16_cater,87.7
2021,16_cater,89.1
2022,,
2023,,
2015,17_telecom,80.6
2016,17_telecom,77.3
2017,17_telecom,80.1
2018,17_telecom,79.9
2019,17_telecom,80.3
2020,17_telecom,78.5
2021,17_telecom,75.7
2022,,
2023,,
2015,18_insurance,66.4
2016,18_insurance,67.0
2017,18_insurance,64.4
2018,18_insurance,63.9
2019,18_insurance,63.9
2020,18_insurance,68.0
2021,18_insurance,68.1
2022,,
2023,,
2015,19_estate,94.2
2016,19_estate,93.6
2017,19_estate,92.3
2018,19_estate,87.8
2019,19_estate,91.4
2020,19_estate,95.3
2021,19_estate,91.7
2022,,
2023,,
2015,20_scientific,84.3
2016,20_scientific,83.4
2017,20_scientific,85.1
2018,20_scientific,80.6
2019,20_scientific,78.1
2020,20_scientific,77.3
2021,20_scientific,78.3
2022,,
2023,,
2015,21_support,101.1
2016,21_support,103.0
2017,21_support,99.8
2018,21_support,98.9
2019,21_support,105.1
2020,21_support,103.5
2021,21_support,101.5
2022,,
2023,,
2015,22_public,90.7
2016,22_public,93.3
2017,22_public,93.0
2018,22_public,95.1
2019,22_public,95.5
2020,22_public,92.1
2021,22_public,89.0
2022,,
2023,,
2015,23_educ,93.4
2016,23_educ,93.7
2017,23_educ,95.4
2018,23_educ,96.4
2019,23_educ,96.2
2020,23_educ,96.5
2021,23_educ,95.7
2022,,
2023,,
2015,24_health,89.7
2016,24_health,89.3
2017,24_health,90.1
2018,24_health,88.9
2019,24_health,89.3
2020,24_health,86.9
2021,24_health,86.4
2022,,
2023,,
2015,25_arts,47.2
2016,25_arts,50.0
2017,25_arts,59.6
2018,25_arts,61.6
2019,25_arts,64.1
2020,25_arts,63.5
2021,25_arts,65.2
2022,,
2023,,
2015,26_other_serv,89.1
2016,26_other_serv,82.6
2017,26_other_serv,82.5
2018,26_other_serv,85.8
2019,26_other_serv,88.1
2020,26_other_serv,98.4
2021,26_other_serv,94.6
2022,,
2023,,
