Year,Вік,Стать,Value
2015,,,9.2
2016,,,9.0
2017,,,8.7
2018,,,8.6
2019,,,8.0
2020,,,8.2
2021,,,8.5
2022,,,
2023,,,
2015,15-24 роки,,55.9
2016,15-24 роки,,56.5
2017,15-24 роки,,57.6
2018,15-24 роки,,59.4
2019,15-24 роки,,55.5
2020,15-24 роки,,60.0
2021,15-24 роки,,62.1
2022,15-24 роки,,
2023,15-24 роки,,
2015,25-64 роки,,0.8
2016,25-64 роки,,0.9
2017,25-64 роки,,0.8
2018,25-64 роки,,0.8
2019,25-64 роки,,0.7
2020,25-64 роки,,0.5
2021,25-64 роки,,0.5
2022,25-64 роки,,
2023,25-64 роки,,
2015,,жінки,8.8
2016,,жінки,8.4
2017,,жінки,8.1
2018,,жінки,8.0
2019,,жінки,7.5
2020,,жінки,7.6
2021,,жінки,7.7
2022,,жінки,
2023,,жінки,
2015,,чоловіки,9.8
2016,,чоловіки,9.6
2017,,чоловіки,9.3
2018,,чоловіки,9.4
2019,,чоловіки,8.7
2020,,чоловіки,8.9
2021,,чоловіки,9.4
2022,,чоловіки,
2023,,чоловіки,
