Year,Age,Sex,Households,Value
2015,,,,58.3
2016,,,,58.6
2017,,,,47.3
2018,,,,43.2
2019,,,,41.3
2020,,,,47.2
2021,,,,39.1
2022,,,,
2023,,,,
2015,age_18,,,66.6
2016,age_18,,,65.5
2017,age_18,,,56.7
2018,age_18,,,51.1
2019,age_18,,,47.8
2020,age_18,,,53.0
2021,age_18,,,43.5
2022,age_18,,,
2023,age_18,,,
2015,age_18_34,,,59.4
2016,age_18_34,,,57.9
2017,age_18_34,,,47.4
2018,age_18_34,,,44.3
2019,age_18_34,,,40.1
2020,age_18_34,,,44.7
2021,age_18_34,,,36.9
2022,age_18_34,,,
2023,age_18_34,,,
2015,age_35_59,,,53.9
2016,age_35_59,,,55.2
2017,age_35_59,,,42.0
2018,age_35_59,,,38.1
2019,age_35_59,,,36.6
2020,age_35_59,,,43.8
2021,age_35_59,,,35.1
2022,age_35_59,,,
2023,age_35_59,,,
2015,age_60,,,57.0
2016,age_60,,,58.9
2017,age_60,,,47.6
2018,age_60,,,43.5
2019,age_60,,,44.4
2020,age_60,,,50.6
2021,age_60,,,44.1
2022,age_60,,,
2023,age_60,,,
2015,,males,,58.0
2016,,males,,58.5
2017,,males,,47.3
2018,,males,,42.4
2019,,males,,41.5
2020,,males,,46.2
2021,,males,,37.6
2022,,males,,
2023,,males,,
2015,,females,,58.6
2016,,females,,58.6
2017,,females,,47.3
2018,,females,,43.9
2019,,females,,41.0
2020,,females,,48.0
2021,,females,,40.4
2022,,females,,
2023,,females,,
2015,,,hh_ch,66.5
2016,,,hh_ch,65.2
2017,,,hh_ch,55.1
2018,,,hh_ch,49.9
2019,,,hh_ch,47.3
2020,,,hh_ch,53.6
2021,,,hh_ch,43.2
2022,,,hh_ch,
2023,,,hh_ch,
2015,,,hh_ch_0,48.8
2016,,,hh_ch_0,50.9
2017,,,hh_ch_0,38.1
2018,,,hh_ch_0,35.4
2019,,,hh_ch_0,34.3
2020,,,hh_ch_0,39.7
2021,,,hh_ch_0,34.4
2022,,,hh_ch_0,
2023,,,hh_ch_0,
